"Lambda","C","Mean","SD"
3.1622776601683795,0.17782794100389226,2.3910053882387174,0.023296774120399585
3.1622776601683795,0.31622776601683794,2.3982273252778974,0.020053431625501973
3.1622776601683795,0.5623413251903491,2.397886357837116,0.02456563392641415
3.1622776601683795,1.0,2.405373103222921,0.02917363434438217
3.1622776601683795,1.7782794100389228,2.396942720746767,0.024506097212603092
3.1622776601683795,3.1622776601683795,2.401833425779627,0.03451955428051852
3.1622776601683795,5.623413251903491,2.4165647930987975,0.03227097395532111
3.1622776601683795,10.0,2.4019698406685337,0.024949243979454916
10.0,0.001,2.3996308180056554,0.02733709865613145
10.0,0.0017782794100389228,2.406326451187124,0.027067226236844398
10.0,0.0031622776601683794,2.3990501487490623,0.02914015823977006
10.0,0.005623413251903491,2.4155777861567924,0.017595106843523726
10.0,0.01,2.4066563368838962,0.025625554165448997
10.0,0.01778279410038923,2.4059049905832093,0.03214729986081836
10.0,0.03162277660168379,2.4046387842308214,0.038052772473092536
10.0,0.056234132519034905,2.4015056489232784,0.029688430527885883
10.0,0.1,2.404032950266145,0.024118682744483907
10.0,0.17782794100389226,2.4064465862073483,0.021745052465155484
10.0,0.31622776601683794,2.396634075725019,0.024590765718781972
10.0,0.5623413251903491,2.427299716130764,0.023701645193805517
10.0,1.0,2.4092737093534518,0.028024761311925404
10.0,1.7782794100389228,2.4060876504651736,0.04051527897536129
10.0,3.1622776601683795,2.40687495599584,0.036382599246184935
10.0,5.623413251903491,2.418086989796679,0.024215122342803132
10.0,10.0,2.3940280348795167,0.04128564995244797
